date,iso_week,close,volume,close_point_relative_normalization,volume_point_relative_normalization
2016-06-02,2016-22,537.97,60378200,0.02230963647,-0.5940606574
2016-06-03,2016-22,569.19,122020000,0.08163730688,-0.1796257824
2016-06-04,2016-22,572.73,94925300,0.0883644034,-0.3617909464
2016-06-05,2016-23,574.98,68874100,0,0
2016-06-06,2016-23,585.54,72138900,0.0183658562,0.0474024343
2016-06-07,2016-23,576.6,107770000,0.002817489304,0.56473914
2016-06-08,2016-23,581.64,80265800,0.01158301158,0.1653988945
2016-06-09,2016-23,574.63,71301000,-0.0006087168249,0.03523675808
2016-06-10,2016-23,577.47,66991900,0.004330585412,-0.0273281248
2016-06-11,2016-23,606.73,82357000,0.05521931198,0.1957615417
2016-06-12,2016-24,672.78,277085000,0,0
2016-06-13,2016-24,704.38,243295000,0.0469692916,-0.1219481387
2016-06-14,2016-24,685.56,186694000,0.01899580844,-0.3262211957
2016-06-15,2016-24,694.47,99223800,0.03223936502,-0.6419012216
2016-06-16,2016-24,766.31,271634000,0.1390201849,-0.01967266362
2016-06-17,2016-24,748.91,363321000,0.1131573471,0.3112257971
2016-06-18,2016-24,756.23,252718000,0.1240375754,-0.08794052367
2016-06-19,2016-25,763.78,136185000,0,0
2016-06-20,2016-25,737.23,174511000,-0.0347613187,0.2814260014
2016-06-21,2016-25,666.65,309944000,-0.1271701275,1.275904101
2016-06-22,2016-25,596.12,266393000,-0.2195134725,0.9561111723
2016-06-23,2016-25,623.98,253462000,-0.1830370002,0.8611594522
2016-06-24,2016-25,665.3,224317000,-0.1289376522,0.6471490987
2016-06-25,2016-25,665.12,126656000,-0.1291733222,-0.06997099534
2016-06-26,2016-26,629.37,109225000,0,0
2016-06-27,2016-26,655.27,122134000,0.04115226337,0.1181872282
2016-06-28,2016-26,647,138385000,0.02801213912,0.2669718471
2016-06-29,2016-26,639.89,142456000,0.01671512783,0.304243534
2016-06-30,2016-26,673.34,138980000,0.06986351431,0.2724193179
2016-07-01,2016-26,676.3,134431000,0.07456663012,0.2307713436
2016-07-02,2016-26,703.7,112354000,0.1181022292,0.02864728771
2016-07-03,2016-27,658.66,129512000,0,0
2016-07-04,2016-27,683.66,92008400,0.03795584976,-0.2895762555
2016-07-05,2016-27,670.63,130476000,0.01817326086,0.007443325715
2016-07-06,2016-27,677.33,134961000,0.0283454286,0.04207332139
2016-07-07,2016-27,640.56,258091000,-0.02748003522,0.9927960343
2016-07-08,2016-27,666.52,141970000,0.01193331916,0.09619185867
2016-07-09,2016-27,650.96,180536000,-0.01169040172,0.393971215
2016-07-10,2016-28,649.36,102532000,0,0
2016-07-11,2016-28,647.66,107910000,-0.002617962301,0.05245191745
2016-07-12,2016-28,664.55,138173000,0.02339226315,0.3476085515
2016-07-13,2016-28,654.47,131449000,0.007869286682,0.2820290251
2016-07-14,2016-28,658.08,98511400,0.01342860663,-0.03921312371
2016-07-15,2016-28,663.25,81673100,0.02139029198,-0.2034379511
2016-07-16,2016-28,660.77,50330200,0.01757114698,-0.5091269067
2016-07-17,2016-29,679.46,74407900,0,0
2016-07-18,2016-29,673.11,69465000,-0.009345656845,-0.06642977426
2016-07-19,2016-29,672.86,61203300,-0.009713596091,-0.1774623393
2016-07-20,2016-29,665.68,94636400,-0.02028081123,0.2718595741
2016-07-21,2016-29,665.01,60491800,-0.02126688841,-0.1870244961
2016-07-22,2016-29,650.62,134169000,-0.0424454714,0.8031553101
2016-07-23,2016-29,655.56,69532200,-0.03517499191,-0.06552664435
2016-07-24,2016-30,661.28,118184000,0,0
2016-07-25,2016-30,654.1,78176500,-0.01085773046,-0.3385187504
2016-07-26,2016-30,651.78,225135000,-0.01436607791,0.9049532932
2016-07-27,2016-30,654.35,147461000,-0.01047967578,0.2477238882
2016-07-28,2016-30,655.03,86428400,-0.009451367046,-0.2686962702
2016-07-29,2016-30,656.99,60703500,-0.00648741834,-0.4863644825
2016-07-30,2016-30,655.05,38456100,-0.009421122671,-0.674608238
2016-07-31,2016-31,624.68,110818000,0,0
2016-08-01,2016-31,606.27,121887000,-0.0294710892,0.0998844953
2016-08-02,2016-31,547.47,330933000,-0.1235992828,1.986274793
2016-08-03,2016-31,566.36,207982000,-0.09335980022,0.8767889693
2016-08-04,2016-31,578.29,125292000,-0.07426202216,0.1306105506
2016-08-05,2016-31,575.04,66127900,-0.07946468592,-0.4032747388
2016-08-06,2016-31,587.78,80797300,-0.05907024396,-0.2709009367
2016-08-07,2016-32,592.69,82398400,0,0
2016-08-08,2016-32,591.05,61194100,-0.002767045167,-0.2573387347
2016-08-09,2016-32,587.8,92228100,-0.008250518821,0.1192947921
2016-08-10,2016-32,592.1,102905000,-0.000995461371,0.2488713373
2016-08-11,2016-32,589.12,74514400,-0.006023384906,-0.09568146954
2016-08-12,2016-32,587.56,69218000,-0.00865545226,-0.1599594167
2016-08-13,2016-32,585.59,43563000,-0.01197928091,-0.4713125498
2016-08-14,2016-33,570.47,60851100,0,0
2016-08-15,2016-33,567.24,57262300,-0.005661998002,-0.05897674816
2016-08-16,2016-33,577.44,58405200,0.01221799569,-0.04019483625
2016-08-17,2016-33,573.22,54443000,0.004820586534,-0.1053078745
2016-08-18,2016-33,574.32,59896600,0.006748821147,-0.01568582984
2016-08-19,2016-33,575.63,50631600,0.009045173278,-0.1679427323
2016-08-20,2016-33,581.7,45301400,0.01968552246,-0.2555368761
2016-08-21,2016-34,581.31,38299400,0,0
2016-08-22,2016-34,586.75,72844000,0.00935817378,0.9019619106
2016-08-23,2016-34,583.41,85349200,0.003612530319,1.228473553
2016-08-24,2016-34,580.18,56328200,-0.001943885362,0.470733223
2016-08-25,2016-34,577.76,136130000,-0.006106896492,2.554363776
2016-08-26,2016-34,579.65,48856800,-0.002855619205,0.2756544489
2016-08-27,2016-34,569.95,59698300,-0.01954206878,0.5587267686
2016-08-28,2016-35,573.91,86301600,0,0
2016-08-29,2016-35,574.11,110398000,0.0003484866965,0.2792115094
2016-08-30,2016-35,577.5,70342400,0.006255336203,-0.1849235704
2016-08-31,2016-35,575.47,75840900,0.002718196233,-0.1212109625
2016-09-01,2016-35,572.3,76923400,-0.002805317907,-0.108667742
2016-09-02,2016-35,575.54,79910800,0.002840166577,-0.07405192951
2016-09-03,2016-35,598.21,159014000,0.04234113363,0.8425382612
2016-09-04,2016-36,608.63,97942900,0,0
2016-09-05,2016-36,606.59,82446800,-0.003351790086,-0.1582156542
2016-09-06,2016-36,610.44,78529100,0.002973892184,-0.1982154909
2016-09-07,2016-36,614.54,75032400,0.009710333043,-0.2339169046
2016-09-08,2016-36,626.32,86713000,0.02906527775,-0.1146576219
2016-09-09,2016-36,622.86,64550200,0.02338037888,-0.3409404868
2016-09-10,2016-36,623.51,45016800,0.02444835122,-0.5403770973
2016-09-11,2016-37,606.72,73610800,0,0
2016-09-12,2016-37,608.24,72812300,0.002505274262,-0.01084759302
2016-09-13,2016-37,609.24,86920600,0.004153481013,0.1808131415
2016-09-14,2016-37,610.68,47877700,0.006526898734,-0.3495832133
2016-09-15,2016-37,607.15,59464600,0.000708728903,-0.1921756047
2016-09-16,2016-37,606.97,64963400,0.0004120516878,-0.1174746097
2016-09-17,2016-37,605.98,37140300,-0.001219672996,-0.4954503959
2016-09-18,2016-38,609.87,48679400,0,0
2016-09-19,2016-38,609.23,54796400,-0.001049403971,0.1256589029
